"時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","都道府県・市部－郡部－市区町村別 コード","都道府県・市部－郡部－市区町村別 補助コード","都道府県・市部－郡部－市区町村別","/人口動態総覧","出生数【人】","2500g未満出生数【人】","死亡数【人】","乳児（１歳未満）死亡数【人】","新生児（生後4週未満）死亡数【人】","自然死産数【胎】","人工死産数【胎】","周産期死亡数【胎・人】","妊娠満22週以後の死産数【胎】","早期新生児（生後1週未満）死亡数【人】","婚姻件数【組】","離婚件数【組】"
"2023000000","","2023年","01453","","東神楽町","","41","3","136","-","-","2","-","-","-","-","12","17"
"2023000000","","2023年","01454","","当麻町","","29","1","110","-","-","1","-","-","-","-","15","6"
"2023000000","","2023年","01455","","比布町","","13","2","67","-","-","-","-","-","-","-","6","2"
"2023000000","","2023年","01456","","愛別町","","11","1","63","-","-","-","-","-","-","-","2","3"
"2023000000","","2023年","01457","","上川町","","11","-","78","-","-","-","-","-","-","-","6","6"
"2023000000","","2023年","01458","","東川町","","43","2","133","-","-","-","-","-","-","-","13","19"
"2023000000","","2023年","01459","","美瑛町","","35","3","154","-","-","-","1","-","-","-","31","10"
"2023000000","","2023年","01460","","上富良野町","","63","13","127","-","-","-","1","-","-","-","45","21"
"2023000000","","2023年","01461","","中富良野町","","28","4","75","-","-","-","-","-","-","-","5","6"
"2023000000","","2023年","01462","","南富良野町","","6","2","37","-","-","-","-","-","-","-","5","2"
"2023000000","","2023年","01463","","占冠村","","1","-","13","-","-","-","-","-","-","-","2","3"
"2023000000","","2023年","01464","","和寒町","","5","-","59","-","-","-","-","-","-","-","1","6"
"2023000000","","2023年","01465","","剣淵町","","13","-","55","-","-","-","-","-","-","-","4","-"
"2023000000","","2023年","01468","","下川町","","16","1","63","-","-","-","-","-","-","-","4","8"
"2023000000","","2023年","01469","","美深町","","18","-","84","-","-","-","-","-","-","-","6","3"
"2023000000","","2023年","01470","","音威子府村","","2","-","16","-","-","-","-","-","-","-","4","1"
"2023000000","","2023年","01471","","中川町","","4","-","25","-","-","-","-","-","-","-","6","1"
"2023000000","","2023年","01472","","幌加内町","","3","-","19","-","-","-","1","-","-","-","-","1"
"2023000000","","2023年","01481","","増毛町","","6","-","105","-","-","-","-","-","-","-","6","9"
"2023000000","","2023年","01482","","小平町","","7","1","52","-","-","1","-","-","-","-","2","3"
"2023000000","","2023年","01483","","苫前町","","8","-","74","-","-","-","1","-","-","-","7","1"
"2023000000","","2023年","01484","","羽幌町","","13","1","126","-","-","-","-","-","-","-","16","11"
"2023000000","","2023年","01485","","初山別村","","4","1","19","-","-","-","-","-","-","-","3","1"
"2023000000","","2023年","01486","","遠別町","","9","2","48","-","-","-","-","-","-","-","1","2"
"2023000000","","2023年","01487","","天塩町","","12","1","42","-","-","-","-","-","-","-","6","7"
"2023000000","","2023年","01511","","猿払村","","24","2","31","-","-","-","-","-","-","-","8","1"
"2023000000","","2023年","01512","","浜頓別町","","17","2","51","-","-","-","-","-","-","-","11","4"
"2023000000","","2023年","01513","","中頓別町","","10","-","33","-","-","-","-","-","-","-","3","4"
