種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,8,7600000,３ＬＤＫ,70,1991,ＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,13,6200000,３ＬＤＫ,70,1995,ＲＣ,住宅,住宅,１中住専,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,6800000,２ＬＤＫ,55,1995,ＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,8500000,４ＬＤＫ,65,1997,ＲＣ,住宅,その他,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,8,7800000,３ＬＤＫ,60,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2015,未改装,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,12000000,３ＬＤＫ,65,1988,ＳＲＣ,住宅,住宅,１種住居,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),8,9200000,３ＬＤＫ,65,1992,ＲＣ,住宅,住宅,２種住居,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,12000000,３ＬＤＫ,65,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,7,14000000,３ＬＤＫ,75,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,6800000,３ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2015,改装済み,,,,728,69,861,2,0,7,13,2,2,0,352,207
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),26,4600000,３ＬＤＫ,75,1992,ＳＲＣ,住宅,住宅,２中住専,60,200,2015,未改装,関係者間取引,,,728,69,861,2,0,7,13,2,2,0,352,207
