種類,価格情報区分,area_code,都道府県名,地区名,最寄駅：名称,distance,price,間取り,面積（㎡）,built_year,建物の構造,用途,今後の利用目的,都市計画,建ぺい率（％）,容積率（％）,year,改装,取引の事情等,時間軸(年次) 補助コード,都道府県・市部－郡部－市区町村別 補助コード,出生数【人】,2500g未満出生数【人】,死亡数【人】,乳児（１歳未満）死亡数【人】,新生児（生後4週未満）死亡数【人】,自然死産数【胎】,人工死産数【胎】,周産期死亡数【胎・人】,妊娠満22週以後の死産数【胎】,早期新生児（生後1週未満）死亡数【人】,婚姻件数【組】,離婚件数【組】
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),14,4500000,３ＬＤＫ,65,1993,ＲＣ,,住宅,１種住居,60,200,2022,,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,11000000,３ＬＤＫ,65,1981,ＳＲＣ,住宅,住宅,１種住居,60,200,2022,未改装,,,,485,37,1079,1,0,4,4,2,2,0,252,137
中古マンション等,不動産取引価格情報,27208,大阪府,堀,貝塚(大阪),11,4000000,,60,1981,ＳＲＣ,住宅,,１種住居,60,200,2019,,,,,558,51,885,1,1,9,5,0,0,0,336,168
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),5,19000000,３ＬＤＫ,80,1997,ＲＣ,住宅,住宅,２中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,海塚,貝塚(大阪),6,12000000,,85,1997,ＲＣ,住宅,,２中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,浦田,二色浜,2,16000000,３ＬＤＫ,65,2000,ＲＣ,,住宅,近隣商業,80,300,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,8200000,４ＬＤＫ,75,1986,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,北町,貝塚(大阪),13,7300000,３ＬＤＫ,75,1986,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,小瀬,蛸地蔵,9,8000000,３ＬＤＫ,65,1991,ＲＣ,,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,15,1200000,２ＬＤＫ,45,1976,ＲＣ,住宅,,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,11,9000000,３ＬＤＫ,65,1995,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,16,2500000,３ＤＫ,45,1976,ＲＣ,住宅,住宅,１種住居,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,9,6200000,３ＬＤＫ,65,1995,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,14,4300000,２ＤＫ,45,1976,ＲＣ,住宅,,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,澤,二色浜,7,7000000,２ＬＤＫ,65,1995,ＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,7,13000000,３ＬＤＫ,65,1988,ＳＲＣ,,住宅,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,5,10000000,,70,1997,ＲＣ,住宅,,１種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,地藏堂,和泉橋本,6,12000000,３ＬＤＫ,60,1987,ＳＲＣ,,住宅,１種住居,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,11000000,,80,1992,ＲＣ,,,２種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,新町,貝塚(大阪),5,7000000,,65,1992,ＲＣ,住宅,,２種住居,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,5600000,３ＬＤＫ,70,1992,ＳＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,8,11000000,３ＬＤＫ,70,1995,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,4,5400000,３ＬＤＫ,80,1991,ＳＲＣ,,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,9800000,３ＬＤＫ,75,1997,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,5,6500000,,70,1993,ＳＲＣ,住宅,,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,清児,清児,3,9000000,４ＬＤＫ,85,1992,ＳＲＣ,,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),23,8500000,３ＬＤＫ,100,1992,ＲＣ,住宅,住宅,１中住専,60,200,2018,,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),24,8800000,２ＬＤＫ,75,1993,ＳＲＣ,住宅,住宅,１中住専,60,200,2018,改装済み,,,,590,53,899,2,1,7,8,3,3,0,306,160
中古マンション等,不動産取引価格情報,27208,大阪府,二色,貝塚(大阪),19,9200000,４ＬＤＫ,80,1989,ＲＣ,住宅,住宅,１中住専,60,200,2018,未改装,,,,590,53,899,2,1,7,8,3,3,0,306,160
